iter	MultiClass
0	1.170354908
1	1.020576149
2	0.9103818547
3	0.8232954427
4	0.7542013271
5	0.696670694
6	0.6495614829
7	0.6095074889
8	0.574558834
9	0.5448557895
10	0.5190585379
11	0.4967214572
12	0.4775687679
13	0.4602026605
14	0.4455582759
15	0.4330880612
16	0.4210299978
17	0.4106935774
18	0.4012210678
19	0.3926056339
20	0.3844840294
21	0.3774096668
22	0.3706699205
23	0.3647286539
24	0.3591531207
25	0.3540923937
26	0.3495863174
27	0.3452657467
28	0.3411104206
29	0.3373716113
30	0.3338545097
31	0.3301432121
32	0.3271554314
33	0.3242677603
34	0.3215289485
35	0.3186709549
36	0.3165146271
37	0.3142034921
38	0.3116380862
39	0.3096273397
40	0.307838613
41	0.305631702
42	0.304015827
43	0.3021974543
44	0.3005397685
45	0.2988144086
46	0.297177105
47	0.295845875
48	0.2943329455
49	0.2928724181
50	0.2915680536
51	0.2901716929
52	0.2889807402
53	0.2878151708
54	0.2867298248
55	0.2855862254
56	0.2844369972
57	0.2833613381
58	0.2823315553
59	0.2813958881
60	0.280537681
61	0.2796355859
62	0.2785812576
63	0.2776244532
64	0.2768622765
65	0.2761027358
66	0.2753017117
67	0.2745083603
68	0.2737368447
69	0.272905751
70	0.2721353069
71	0.2713558612
72	0.2707526767
73	0.2701844613
74	0.2695336158
75	0.2688015719
76	0.2681612338
77	0.2675760688
78	0.2669061874
79	0.2660978879
80	0.2653663288
81	0.2647196176
82	0.2641817076
83	0.2636365769
84	0.2631556087
85	0.2625727362
86	0.2620560286
87	0.2615126542
88	0.2609927303
89	0.2605236247
90	0.2600783694
91	0.2595165526
92	0.2590462232
93	0.2585551205
94	0.2580973803
95	0.2576465448
96	0.2571114747
97	0.256701604
98	0.2563157938
99	0.2559398972
100	0.255509893
101	0.2550497163
102	0.2545872066
103	0.2540944623
104	0.2537156458
105	0.2532324642
106	0.2528236558
107	0.2523711065
108	0.2518845524
109	0.2515645045
110	0.2512522631
111	0.2508340103
112	0.2504294015
113	0.2500827727
114	0.2496580787
115	0.2492190011
116	0.2488095945
117	0.248400727
118	0.2480112439
119	0.2476594314
120	0.2472308127
121	0.2469079325
122	0.2464919894
123	0.2461287322
124	0.2458049961
125	0.2454773863
126	0.2451950554
127	0.244823323
128	0.2444306545
129	0.2440605934
130	0.2437659437
131	0.2433873891
132	0.2430552412
133	0.242805841
134	0.2424738392
135	0.2420810842
136	0.241677679
137	0.2413441283
138	0.2410085953
139	0.2407399455
140	0.240314111
141	0.2399868086
142	0.2395602052
143	0.2393380279
144	0.2390431815
145	0.2387143166
146	0.2384075258
147	0.2382040979
148	0.2378625067
149	0.2375239168
150	0.2372135133
151	0.2368778395
152	0.2365996685
153	0.2364082688
154	0.2361278561
155	0.2358601727
156	0.2355976865
157	0.2353184345
158	0.2350133355
159	0.2347010077
160	0.2344783556
161	0.2342672186
162	0.233962143
163	0.2336511278
164	0.2334485525
165	0.2331653955
166	0.2328725227
167	0.2326932921
168	0.2324082722
169	0.2321182083
170	0.2319068039
171	0.2316578057
172	0.2314285087
173	0.2312597401
174	0.2310402515
175	0.2308168341
176	0.230622411
177	0.2304131392
178	0.230203627
179	0.229989219
180	0.2297544769
181	0.2295294409
182	0.2293853334
183	0.2290843065
184	0.2289028679
185	0.2287069724
186	0.2285717991
187	0.228291781
188	0.2280468971
189	0.2278335249
190	0.2275849017
191	0.2273277142
192	0.2271599799
193	0.2269074043
194	0.2267986353
195	0.2265812724
196	0.2263525469
197	0.2262113872
198	0.2260120424
199	0.2257641235
200	0.2255697951
201	0.2254044352
202	0.2251589271
203	0.2249393893
204	0.2247141176
205	0.224521487
206	0.2243446007
207	0.2241583396
208	0.2239032537
209	0.2237747243
210	0.2235894671
211	0.2233485752
212	0.223113936
213	0.2229012023
214	0.2227556403
215	0.2225934287
216	0.2225047251
217	0.2223222157
218	0.22212725
219	0.2219315796
220	0.2217735072
221	0.2215955671
222	0.2214672753
223	0.2213197357
224	0.2211731044
225	0.2210403382
226	0.220871716
227	0.2206787841
228	0.2204670169
229	0.2202723422
230	0.2201554686
231	0.2199936322
232	0.2198185036
233	0.219644796
234	0.2194525704
235	0.2192637332
236	0.2190384297
237	0.2188093174
238	0.2185601027
239	0.2183730589
240	0.2182221503
241	0.2180396241
242	0.2178412049
243	0.2176287678
244	0.2174987704
245	0.2173238341
246	0.2171903754
247	0.2170140681
248	0.2168184273
249	0.2167046316
250	0.2165631939
251	0.216364766
252	0.2161686678
253	0.2160022608
254	0.2158672299
255	0.2156730903
256	0.2154908486
257	0.2153349278
258	0.2152007646
259	0.2150214586
260	0.2148575999
261	0.2146874663
262	0.2145562268
263	0.2143411213
264	0.2141855941
265	0.2140298168
266	0.2138908106
267	0.2137567507
268	0.2136003201
269	0.2134836873
270	0.2133233451
271	0.2131705735
272	0.2130382129
273	0.2128568047
274	0.2127327347
275	0.212550011
276	0.2123791106
277	0.2121941743
278	0.2120814144
279	0.2118877262
280	0.2117212407
281	0.2116020144
282	0.2114435851
283	0.2112541636
284	0.2110771112
285	0.2109091507
286	0.2107990792
287	0.210629787
288	0.2105009425
