iter	Passed	Remaining
0	309	309534
1	454	226731
2	628	208916
3	778	193860
4	935	186233
5	1116	184909
6	1271	180426
7	1396	173207
8	1559	171711
9	1704	168760
10	1864	167606
11	1996	164414
12	2135	162125
13	2299	161954
14	2434	159876
15	2556	157238
16	2693	155741
17	2835	154697
18	2986	154213
19	3108	152309
20	3265	152249
21	3400	151188
22	3554	150988
23	3712	150985
24	3881	151367
25	4040	151370
26	4206	151591
27	4361	151417
28	4524	151485
29	4679	151298
30	4838	151229
31	4993	151055
32	5148	150852
33	5298	150530
34	5449	150261
35	5684	152217
36	5848	152224
37	6006	152057
38	6224	153385
39	6400	153620
40	6545	153090
41	6691	152620
42	6848	152410
43	7024	152619
44	7172	152208
45	7352	152481
46	7515	152397
47	7634	151411
48	7798	151348
49	7939	150854
50	8107	150857
51	8263	150642
52	8433	150692
53	8583	150368
54	8724	149899
55	8846	149120
56	8991	148758
57	9131	148305
58	9294	148241
59	9437	147852
60	9575	147407
61	9727	147172
62	9882	146984
63	10038	146814
64	10179	146433
65	10325	146116
66	10485	146018
67	10683	146429
68	10911	147222
69	11093	147391
70	11244	147132
71	11439	147439
72	11606	147384
73	11805	147731
74	12035	148439
75	12188	148191
76	12334	147849
77	12468	147389
78	12625	147186
79	12784	147022
80	12935	146759
81	13081	146453
82	13218	146041
83	13360	145694
84	13495	145273
85	13642	144996
86	13870	145563
87	14008	145176
88	14153	144873
89	14300	144593
90	14430	144142
91	14575	143852
92	14748	143839
93	14951	144104
94	15146	144293
95	15302	144094
96	15464	143961
97	15616	143735
98	15775	143571
99	15913	143223
100	16061	142966
101	16226	142859
102	16397	142802
103	16544	142534
104	16688	142246
105	16860	142199
106	17014	142002
107	17148	141629
108	17345	141788
109	17519	141746
110	17686	141655
111	17827	141342
112	17979	141128
113	18132	140924
114	18262	140538
115	18452	140618
116	18611	140464
117	18765	140262
118	18892	139869
119	19068	139833
120	19238	139756
121	19433	139855
122	19659	140172
123	19877	140426
124	20017	140123
125	20226	140301
126	20399	140225
127	20632	140560
128	20853	140799
129	21118	141328
130	21310	141366
131	21533	141600
132	21714	141550
133	21872	141353
134	22060	141348
135	22219	141161
136	22398	141095
137	22555	140892
138	22732	140807
139	22894	140639
140	23087	140652
141	23279	140662
142	23501	140846
143	23629	140464
144	23804	140361
145	23973	140230
146	24120	139966
147	24249	139599
148	24428	139521
149	24613	139477
150	24831	139616
151	25004	139500
152	25210	139562
153	25374	139393
154	25567	139383
155	25703	139061
156	25854	138824
157	26005	138586
158	26191	138535
159	26358	138382
160	26514	138171
161	26664	137928
162	26841	137829
163	27020	137737
164	27176	137530
165	27319	137256
166	27483	137088
167	27618	136775
168	27813	136763
169	27960	136511
170	28090	136182
171	28233	135914
172	28386	135698
173	28486	135229
174	28645	135042
175	28781	134748
176	28923	134486
177	29080	134294
178	29319	134474
179	29518	134473
180	29654	134182
181	29793	133908
182	29946	133696
183	30125	133599
184	30276	133380
185	30413	133101
186	30572	132918
187	30758	132849
188	30901	132599
189	31049	132369
190	31204	132170
191	31413	132196
192	31606	132159
193	31933	132671
194	32176	132831
195	32374	132800
196	32525	132579
197	32660	132293
198	32806	132052
199	32963	131853
200	33132	131704
201	33283	131487
202	33422	131221
203	33559	130947
204	33706	130715
205	33851	130474
206	33994	130231
207	34149	130029
208	34324	129909
209	34453	129612
210	34615	129440
211	34801	129354
212	34995	129301
213	35216	129346
